transcript,met_module,cor,gene_id,region_soy,blast_soy,Phytozome_link,blast_ara
tr_4028,Module_1,0.760714286,Phvul.005G071400,coding,GLYMA13G35320.1,https://phytozome-next.jgi.doe.gov/report/gene/Pvulgaris_v2_1/Phvul.005G071400,"| Symbols: PDF2.3, LCR68 | low-molecular-weight cysteine-rich 68 | chr2:540071-540407 FORWARD LENGTH=77"
tr_25975,Module_1,0.760714286,Phvul.003G016900,coding,GLYMA02G09460.1,https://phytozome-next.jgi.doe.gov/report/gene/Pvulgaris_v2_1/Phvul.003G016900,| Symbols:  | Sec14p-like phosphatidylinositol transfer family protein | chr1:5105237-5106793 REVERSE LENGTH=252
tr_15268,Module_1,0.757142857,Phvul.009G205600,coding,GLYMA06G26370.1,https://phytozome-next.jgi.doe.gov/report/gene/Pvulgaris_v2_1/Phvul.009G205600,"| Symbols: ATPP2-A10, PP2-A10 | phloem protein 2-A10 | chr1:3327637-3328448 REVERSE LENGTH=184"
tr_23527,Module_1,0.756787469,Phvul.008G267000,noncoding,GLYMA02G46030.1,https://phytozome-next.jgi.doe.gov/report/gene/Pvulgaris_v2_1/Phvul.008G267000,None
tr_24505,Module_1,0.753571429,Phvul.008G061100,coding,GLYMA18G46920.1,https://phytozome-next.jgi.doe.gov/report/gene/Pvulgaris_v2_1/Phvul.008G061100,"| Symbols: ATCYSC1, ARATH;BSAS3;1, CYSC1 | cysteine synthase C1 | chr3:22735885-22737792 FORWARD LENGTH=368"
tr_25726,Module_1,0.753571429,Phvul.001G148300,coding,GLYMA19G33580.1,https://phytozome-next.jgi.doe.gov/report/gene/Pvulgaris_v2_1/Phvul.001G148300,| Symbols:  | unknown protein; BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT1G03340.1); Has 41 Blast hits to 41 proteins in 12 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 41; Viruses - 0; Other Eukaryotes - 0 (source: NCBI BLink). | chr4:1292816-1294670 FORWARD LENGTH=418
tr_15873,Module_1,0.75,Phvul.002G145500,noncoding,None,https://phytozome-next.jgi.doe.gov/report/gene/Pvulgaris_v2_1/Phvul.002G145500,None
tr_20792,Module_1,0.75,Phvul.009G025400,coding,GLYMA04G18440.1,https://phytozome-next.jgi.doe.gov/report/gene/Pvulgaris_v2_1/Phvul.009G025400,| Symbols: TRFL5 | TRF-like 5 | chr1:5406138-5407310 FORWARD LENGTH=390
tr_17352,Module_1,0.742857143,Phvul.006G110300,coding,GLYMA03G41650.1,https://phytozome-next.jgi.doe.gov/report/gene/Pvulgaris_v2_1/Phvul.006G110300,| Symbols:  | Mitochondrial substrate carrier family protein | chr2:19015998-19018020 FORWARD LENGTH=361
tr_26145,Module_1,0.742857143,Phvul.003G295300,coding,GLYMA07G33330.1,https://phytozome-next.jgi.doe.gov/report/gene/Pvulgaris_v2_1/Phvul.003G295300,"| Symbols: ATCXE12, CXE12 | alpha/beta-Hydrolases superfamily protein | chr3:18037186-18038160 REVERSE LENGTH=324"
tr_16088,Module_1,0.735714286,Phvul.010G105000,coding,GLYMA16G03450.4,https://phytozome-next.jgi.doe.gov/report/gene/Pvulgaris_v2_1/Phvul.010G105000,| Symbols:  | Nuclear transport factor 2 (NTF2) family protein | chr2:18953326-18954467 FORWARD LENGTH=240
tr_22637,Module_1,0.732142857,Phvul.003G020400,coding,GLYMA09G22600.1,https://phytozome-next.jgi.doe.gov/report/gene/Pvulgaris_v2_1/Phvul.003G020400,"| Symbols: MMZ1, UEV1A | MMS ZWEI homologue 1 | chr1:8257209-8258573 REVERSE LENGTH=158"
tr_20225,Module_1,0.728571429,Phvul.001G098600,coding,GLYMA19G28180.1,https://phytozome-next.jgi.doe.gov/report/gene/Pvulgaris_v2_1/Phvul.001G098600,| Symbols:  | unknown protein; BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT3G16330.1); Has 114 Blast hits to 114 proteins in 15 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 114; Viruses - 0; Other Eukaryotes - 0 (source: NCBI BLink). | chr1:19407559-19408185 REVERSE LENGTH=208
tr_19920,Module_1,0.717857143,Phvul.001G208300,coding,GLYMA19G39950.1,https://phytozome-next.jgi.doe.gov/report/gene/Pvulgaris_v2_1/Phvul.001G208300,| Symbols:  | alpha/beta-Hydrolases superfamily protein | chr4:1035722-1037403 FORWARD LENGTH=324
tr_25755,Module_1,0.714285714,Phvul.002G313900,coding,GLYMA05G35360.1,https://phytozome-next.jgi.doe.gov/report/gene/Pvulgaris_v2_1/Phvul.002G313900,| Symbols:  | FRIGIDA-like protein | chr3:7959854-7961886 FORWARD LENGTH=532
tr_26866,Module_2,0.835714286,Phvul.009G010000,coding,GLYMA17G38250.1,https://phytozome-next.jgi.doe.gov/report/gene/Pvulgaris_v2_1/Phvul.009G010000,| Symbols:  | Pentatricopeptide repeat (PPR) superfamily protein | chr4:7939611-7942898 REVERSE LENGTH=1064
tr_9704,Module_2,0.776440947,Phvul.007G272600,coding,GLYMA20G22010.1,https://phytozome-next.jgi.doe.gov/report/gene/Pvulgaris_v2_1/Phvul.007G272600,| Symbols: bHLH104 | basic helix-loop-helix (bHLH) DNA-binding superfamily protein | chr4:8300418-8301503 FORWARD LENGTH=277
tr_13989,Module_2,0.760567142,Phvul.005G124500,noncoding,None,https://phytozome-next.jgi.doe.gov/report/gene/Pvulgaris_v2_1/Phvul.005G124500,None
tr_25666,Module_2,0.742857143,Phvul.006G205100,coding,GLYMA15G06030.1,https://phytozome-next.jgi.doe.gov/report/gene/Pvulgaris_v2_1/Phvul.006G205100,| Symbols:  | RNA-binding (RRM/RBD/RNP motifs) family protein | chr5:26080501-26082984 REVERSE LENGTH=220
tr_8735,Module_2,0.735714286,Phvul.006G072000,coding,GLYMA11G29280.1,https://phytozome-next.jgi.doe.gov/report/gene/Pvulgaris_v2_1/Phvul.006G072000,| Symbols:  | Glutaredoxin family protein | chr5:23660428-23661249 FORWARD LENGTH=273
tr_18291,Module_2,0.731010122,Phvul.011G019500,coding,GLYMA11G02220.1,https://phytozome-next.jgi.doe.gov/report/gene/Pvulgaris_v2_1/Phvul.011G019500,"| Symbols: ATCHX17, CHX17 | cation/H+ exchanger 17 | chr4:12342534-12345616 REVERSE LENGTH=820"
tr_12851,Module_2,0.721428571,Phvul.011G097400,coding,GLYMA12G09830.1,https://phytozome-next.jgi.doe.gov/report/gene/Pvulgaris_v2_1/Phvul.011G097400,"| Symbols:  | Polynucleotidyl transferase, ribonuclease H-like superfamily protein | chr3:15952213-15953055 REVERSE LENGTH=280"
tr_11480,Module_2,0.710714286,Phvul.011G033400,coding,GLYMA11G11250.1,https://phytozome-next.jgi.doe.gov/report/gene/Pvulgaris_v2_1/Phvul.011G033400,"| Symbols: ATTOC132, TOC132 | multimeric translocon complex in the outer envelope membrane 132 | chr2:7211489-7215109 REVERSE LENGTH=1206"
tr_2879,Module_3,0.846428571,Phvul.011G038700,coding,GLYMA12G04110.1,https://phytozome-next.jgi.doe.gov/report/gene/Pvulgaris_v2_1/Phvul.011G038700,"| Symbols: ATPLT5, PMT5, ATPMT5 | polyol/monosaccharide transporter 5 | chr3:6489000-6491209 REVERSE LENGTH=539"
tr_9841,Module_3,0.810714286,Phvul.008G271700,noncoding,GLYMA11G10160.1,https://phytozome-next.jgi.doe.gov/report/gene/Pvulgaris_v2_1/Phvul.008G271700,| Symbols:  | Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein | chr4:16134538-16134964 FORWARD LENGTH=115
tr_22910,Module_3,0.803571429,Phvul.001G180500,coding,GLYMA03G34230.1,https://phytozome-next.jgi.doe.gov/report/gene/Pvulgaris_v2_1/Phvul.001G180500,| Symbols:  | Major facilitator superfamily protein | chr2:16366287-16368231 REVERSE LENGTH=601
tr_17002,Module_3,0.800032467,Phvul.009G243500,coding,GLYMA15G16830.1,https://phytozome-next.jgi.doe.gov/report/gene/Pvulgaris_v2_1/Phvul.009G243500,| Symbols: PTAC14 | plastid transcriptionally active 14 | chr4:10878914-10881697 FORWARD LENGTH=483
tr_8966,Module_3,0.789285714,Phvul.001G131600,coding,GLYMA03G29260.1,https://phytozome-next.jgi.doe.gov/report/gene/Pvulgaris_v2_1/Phvul.001G131600,| Symbols:  | unknown protein; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: N-terminal protein myristoylation; LOCATED IN: cellular_component unknown; BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT5G52500.1); Has 38 Blast hits to 38 proteins in 7 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 38; Viruses - 0; Other Eukaryotes - 0 (source: NCBI BLink). | chr3:21238547-21239971 FORWARD LENGTH=474
tr_25366,Module_3,0.789285714,Phvul.009G125900,coding,GLYMA04G42800.1,https://phytozome-next.jgi.doe.gov/report/gene/Pvulgaris_v2_1/Phvul.009G125900,"| Symbols: ATAF1, ANAC002 | NAC (No Apical Meristem) domain transcriptional regulator superfamily protein | chr1:268471-269514 FORWARD LENGTH=289"
tr_13368,Module_3,0.780873546,Phvul.009G178300,coding,GLYMA04G35650.1,https://phytozome-next.jgi.doe.gov/report/gene/Pvulgaris_v2_1/Phvul.009G178300,"| Symbols: HCA2, DOF5.6 | Dof-type zinc finger DNA-binding family protein | chr5:25257183-25258504 REVERSE LENGTH=372"
tr_194,Module_3,0.778571429,Phvul.001G170100,coding,GLYMA03G32970.1,https://phytozome-next.jgi.doe.gov/report/gene/Pvulgaris_v2_1/Phvul.001G170100,"| Symbols:  | unknown protein; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: cellular_component unknown; EXPRESSED IN: sperm cell, male gametophyte, pollen tube; EXPRESSED DURING: L mature pollen stage, M germinated pollen stage; BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT2G37480.1). | chr3:19891104-19892214 FORWARD LENGTH=203"
tr_12286,Module_3,0.777782774,Phvul.003G254600,coding,GLYMA16G25240.1,https://phytozome-next.jgi.doe.gov/report/gene/Pvulgaris_v2_1/Phvul.003G254600,| Symbols:  | ARM repeat superfamily protein | chr4:17245400-17247926 REVERSE LENGTH=718
tr_22872,Module_3,0.775,Phvul.006G201200,coding,GLYMA13G32920.1,https://phytozome-next.jgi.doe.gov/report/gene/Pvulgaris_v2_1/Phvul.006G201200,| Symbols:  | Class I glutamine amidotransferase-like superfamily protein | chr4:14925618-14926713 FORWARD LENGTH=249
tr_25373,Module_3,0.774596669,Phvul.006G183400,noncoding,None,https://phytozome-next.jgi.doe.gov/report/gene/Pvulgaris_v2_1/Phvul.006G183400,None
tr_18664,Module_3,0.767857143,Phvul.006G107800,coding,GLYMA03G41360.1,https://phytozome-next.jgi.doe.gov/report/gene/Pvulgaris_v2_1/Phvul.006G107800,"| Symbols: PUB9, ATPUB9 | plant U-box 9 | chr3:2354884-2356613 FORWARD LENGTH=460"
tr_26470,Module_3,0.760714286,Phvul.008G073200,coding,GLYMA18G45900.1,https://phytozome-next.jgi.doe.gov/report/gene/Pvulgaris_v2_1/Phvul.008G073200,None
tr_1830,Module_3,0.753571429,Phvul.001G247700,coding,GLYMA18G02610.1,https://phytozome-next.jgi.doe.gov/report/gene/Pvulgaris_v2_1/Phvul.001G247700,"| Symbols: SAG20, WI12, ATWI-12 | senescence associated gene 20 | chr3:3442776-3443108 FORWARD LENGTH=110"
tr_1613,Module_3,0.75,Phvul.005G148200,coding,GLYMA11G14110.2,https://phytozome-next.jgi.doe.gov/report/gene/Pvulgaris_v2_1/Phvul.005G148200,"| Symbols: BB, BB2 | RING/U-box superfamily protein | chr3:23456407-23457787 REVERSE LENGTH=248"
tr_10045,Module_3,0.746428571,Phvul.003G064400,coding,GLYMA17G14350.1,https://phytozome-next.jgi.doe.gov/report/gene/Pvulgaris_v2_1/Phvul.003G064400,| Symbols:  | Tetratricopeptide repeat (TPR)-like superfamily protein | chr3:9758933-9760349 FORWARD LENGTH=350
tr_18538,Module_3,0.746428571,Phvul.008G012400,coding,GLYMA05G34840.1,https://phytozome-next.jgi.doe.gov/report/gene/Pvulgaris_v2_1/Phvul.008G012400,| Symbols:  | RNA-binding CRS1 / YhbY (CRM) domain protein | chr4:7621780-7623051 REVERSE LENGTH=343
tr_22234,Module_3,0.746428571,Phvul.004G094400,coding,None,https://phytozome-next.jgi.doe.gov/report/gene/Pvulgaris_v2_1/Phvul.004G094400,None
tr_16250,Module_3,0.742857143,Phvul.001G035500,coding,GLYMA14G10820.1,https://phytozome-next.jgi.doe.gov/report/gene/Pvulgaris_v2_1/Phvul.001G035500,"| Symbols: AtGLDP1, GLDP1 | glycine decarboxylase P-protein 1 | chr4:15926852-15931150 REVERSE LENGTH=1037"
tr_14426,Module_3,0.739285714,Phvul.011G127500,coding,GLYMA12G15560.1,https://phytozome-next.jgi.doe.gov/report/gene/Pvulgaris_v2_1/Phvul.011G127500,| Symbols:  | DNAJ heat shock N-terminal domain-containing protein | chr2:17793404-17795419 FORWARD LENGTH=344
tr_21595,Module_3,0.739285714,Phvul.003G098800,coding,GLYMA17G02420.1,https://phytozome-next.jgi.doe.gov/report/gene/Pvulgaris_v2_1/Phvul.003G098800,| Symbols:  | unknown protein; BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT1G16520.1); Has 30201 Blast hits to 17322 proteins in 780 species: Archae - 12; Bacteria - 1396; Metazoa - 17338; Fungi - 3422; Plants - 5037; Viruses - 0; Other Eukaryotes - 2996 (source: NCBI BLink). | chr4:8875932-8877567 FORWARD LENGTH=337
tr_22445,Module_3,0.739285714,Phvul.009G178100,coding,GLYMA06G19310.1,https://phytozome-next.jgi.doe.gov/report/gene/Pvulgaris_v2_1/Phvul.009G178100,"| Symbols: ISU1, ATISU1 | SufE/NifU family protein | chr4:11759444-11760881 REVERSE LENGTH=167"
tr_13329,Module_3,0.735714286,Phvul.007G279300,coding,GLYMA10G00460.1,https://phytozome-next.jgi.doe.gov/report/gene/Pvulgaris_v2_1/Phvul.007G279300,| Symbols:  | Protein of unknown function (DUF506)  | chr3:8152592-8153881 FORWARD LENGTH=370
tr_17702,Module_3,0.735714286,Phvul.010G060200,coding,GLYMA16G34840.1,https://phytozome-next.jgi.doe.gov/report/gene/Pvulgaris_v2_1/Phvul.010G060200,| Symbols:  | Protein of unknown function (DUF567) | chr2:16157725-16158474 REVERSE LENGTH=196
tr_4448,Module_3,0.728571429,Phvul.004G046100,coding,GLYMA19G05120.2,https://phytozome-next.jgi.doe.gov/report/gene/Pvulgaris_v2_1/Phvul.004G046100,| Symbols:  | 6-phosphogluconate dehydrogenase family protein | chr3:482498-483958 FORWARD LENGTH=486
tr_11634,Module_3,0.728571429,Phvul.009G260300,coding,GLYMA07G05310.1,https://phytozome-next.jgi.doe.gov/report/gene/Pvulgaris_v2_1/Phvul.009G260300,"| Symbols: ATPAP29, PAP29 | purple acid phosphatase 29 | chr5:25328237-25329616 FORWARD LENGTH=389"
tr_23300,Module_3,0.72795747,Phvul.008G242500,coding,GLYMA14G38930.1,https://phytozome-next.jgi.doe.gov/report/gene/Pvulgaris_v2_1/Phvul.008G242500,| Symbols:  | NC domain-containing protein-related | chr3:581727-582813 REVERSE LENGTH=252
tr_7809,Module_3,0.725,Phvul.005G166300,coding,GLYMA13G43120.1,https://phytozome-next.jgi.doe.gov/report/gene/Pvulgaris_v2_1/Phvul.005G166300,| Symbols:  | Homeodomain-like superfamily protein | chr3:5547828-5549397 FORWARD LENGTH=387
tr_12092,Module_3,0.721428571,Phvul.002G274500,coding,GLYMA08G00420.1,https://phytozome-next.jgi.doe.gov/report/gene/Pvulgaris_v2_1/Phvul.002G274500,"| Symbols: PAD4, ATPAD4 | alpha/beta-Hydrolases superfamily protein | chr3:19431566-19434292 FORWARD LENGTH=541"
tr_26879,Module_3,0.721428571,Phvul.006G207400,coding,GLYMA15G05780.1,https://phytozome-next.jgi.doe.gov/report/gene/Pvulgaris_v2_1/Phvul.006G207400,None
tr_13989,Module_3,0.719954333,Phvul.005G124500,noncoding,None,https://phytozome-next.jgi.doe.gov/report/gene/Pvulgaris_v2_1/Phvul.005G124500,None
tr_4726,Module_3,0.717857143,Phvul.004G046100,coding,GLYMA19G05120.2,https://phytozome-next.jgi.doe.gov/report/gene/Pvulgaris_v2_1/Phvul.004G046100,| Symbols:  | 6-phosphogluconate dehydrogenase family protein | chr3:482498-483958 FORWARD LENGTH=486
tr_5336,Module_3,0.717857143,Phvul.009G262500,coding,GLYMA03G42470.1,https://phytozome-next.jgi.doe.gov/report/gene/Pvulgaris_v2_1/Phvul.009G262500,| Symbols:  | Plant protein of unknown function (DUF936) | chr3:4696115-4697989 REVERSE LENGTH=505
tr_23191,Module_3,0.717857143,Phvul.002G301600,coding,GLYMA08G02980.1,https://phytozome-next.jgi.doe.gov/report/gene/Pvulgaris_v2_1/Phvul.002G301600,| Symbols:  | NAD(P)-binding Rossmann-fold superfamily protein | chr4:12497287-12499661 FORWARD LENGTH=332
tr_648,Module_3,0.716850483,Phvul.001G170200,coding,GLYMA03G32990.1,https://phytozome-next.jgi.doe.gov/report/gene/Pvulgaris_v2_1/Phvul.001G170200,| Symbols:  | unknown protein; BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT4G18692.1); Has 42 Blast hits to 42 proteins in 10 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 42; Viruses - 0; Other Eukaryotes - 0 (source: NCBI BLink). | chr3:19883986-19885568 FORWARD LENGTH=194
tr_25300,Module_3,0.716482073,Phvul.004G075500,coding,GLYMA17G23740.1,https://phytozome-next.jgi.doe.gov/report/gene/Pvulgaris_v2_1/Phvul.004G075500,"| Symbols: ANAC083, VNI2, NAC083 | NAC domain containing protein 83 | chr5:4196643-4197577 FORWARD LENGTH=252"
tr_2044,Module_3,0.714285714,Phvul.005G129500,coding,GLYMA01G08600.1,https://phytozome-next.jgi.doe.gov/report/gene/Pvulgaris_v2_1/Phvul.005G129500,| Symbols:  | Serine carboxypeptidase S28 family protein | chr5:7639511-7642945 REVERSE LENGTH=502
tr_3291,Module_3,0.714285714,Phvul.003G187400,coding,GLYMA17G11140.1,https://phytozome-next.jgi.doe.gov/report/gene/Pvulgaris_v2_1/Phvul.003G187400,"| Symbols:  | Protein of unknown function, DUF538 | chr2:1019733-1021071 REVERSE LENGTH=179"
tr_24765,Module_3,0.714285714,Phvul.004G147800,coding,GLYMA09G30300.1,https://phytozome-next.jgi.doe.gov/report/gene/Pvulgaris_v2_1/Phvul.004G147800,"| Symbols: ATMKK9, MKK9 | MAP kinase kinase 9 | chr1:27639419-27640351 REVERSE LENGTH=310"
tr_235,Module_3,0.710714286,Phvul.009G119300,coding,GLYMA04G00500.1,https://phytozome-next.jgi.doe.gov/report/gene/Pvulgaris_v2_1/Phvul.009G119300,"| Symbols: ATFP6, HIPP26, FP6 | farnesylated protein 6 | chr4:18034596-18035693 FORWARD LENGTH=153"
tr_15511,Module_3,0.710714286,Phvul.007G218700,coding,GLYMA02G02070.1,https://phytozome-next.jgi.doe.gov/report/gene/Pvulgaris_v2_1/Phvul.007G218700,"| Symbols: SAG21, AtLEA5 | senescence-associated gene 21 | chr4:1046414-1046807 REVERSE LENGTH=97"
tr_20320,Module_3,0.710714286,Phvul.010G046700,coding,GLYMA12G24150.1,https://phytozome-next.jgi.doe.gov/report/gene/Pvulgaris_v2_1/Phvul.010G046700,| Symbols:  | Domain of unknown function (DUF3598) | chr2:18452937-18454785 REVERSE LENGTH=500
tr_9841,Module_4,0.839285714,Phvul.008G271700,noncoding,GLYMA11G10160.1,https://phytozome-next.jgi.doe.gov/report/gene/Pvulgaris_v2_1/Phvul.008G271700,| Symbols:  | Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein | chr4:16134538-16134964 FORWARD LENGTH=115
tr_11634,Module_4,0.817857143,Phvul.009G260300,coding,GLYMA07G05310.1,https://phytozome-next.jgi.doe.gov/report/gene/Pvulgaris_v2_1/Phvul.009G260300,"| Symbols: ATPAP29, PAP29 | purple acid phosphatase 29 | chr5:25328237-25329616 FORWARD LENGTH=389"
tr_194,Module_4,0.807142857,Phvul.001G170100,coding,GLYMA03G32970.1,https://phytozome-next.jgi.doe.gov/report/gene/Pvulgaris_v2_1/Phvul.001G170100,"| Symbols:  | unknown protein; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: cellular_component unknown; EXPRESSED IN: sperm cell, male gametophyte, pollen tube; EXPRESSED DURING: L mature pollen stage, M germinated pollen stage; BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT2G37480.1). | chr3:19891104-19892214 FORWARD LENGTH=203"
tr_13989,Module_4,0.803025987,Phvul.005G124500,noncoding,None,https://phytozome-next.jgi.doe.gov/report/gene/Pvulgaris_v2_1/Phvul.005G124500,None
tr_12286,Module_4,0.802872541,Phvul.003G254600,coding,GLYMA16G25240.1,https://phytozome-next.jgi.doe.gov/report/gene/Pvulgaris_v2_1/Phvul.003G254600,| Symbols:  | ARM repeat superfamily protein | chr4:17245400-17247926 REVERSE LENGTH=718
tr_648,Module_4,0.781367026,Phvul.001G170200,coding,GLYMA03G32990.1,https://phytozome-next.jgi.doe.gov/report/gene/Pvulgaris_v2_1/Phvul.001G170200,| Symbols:  | unknown protein; BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT4G18692.1); Has 42 Blast hits to 42 proteins in 10 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 42; Viruses - 0; Other Eukaryotes - 0 (source: NCBI BLink). | chr3:19883986-19885568 FORWARD LENGTH=194
tr_22910,Module_4,0.778571429,Phvul.001G180500,coding,GLYMA03G34230.1,https://phytozome-next.jgi.doe.gov/report/gene/Pvulgaris_v2_1/Phvul.001G180500,| Symbols:  | Major facilitator superfamily protein | chr2:16366287-16368231 REVERSE LENGTH=601
tr_8700,Module_4,0.775,Phvul.007G006400,coding,GLYMA20G38740.1,https://phytozome-next.jgi.doe.gov/report/gene/Pvulgaris_v2_1/Phvul.007G006400,| Symbols: THFS | 10-formyltetrahydrofolate synthetase | chr1:18702064-18704687 FORWARD LENGTH=634
tr_13329,Module_4,0.775,Phvul.007G279300,coding,GLYMA10G00460.1,https://phytozome-next.jgi.doe.gov/report/gene/Pvulgaris_v2_1/Phvul.007G279300,| Symbols:  | Protein of unknown function (DUF506)  | chr3:8152592-8153881 FORWARD LENGTH=370
tr_9322,Module_4,0.753571429,Phvul.006G070600,coding,GLYMA18G06730.1,https://phytozome-next.jgi.doe.gov/report/gene/Pvulgaris_v2_1/Phvul.006G070600,| Symbols:  | Acyl-CoA N-acyltransferases (NAT) superfamily protein | chr2:12843583-12845597 REVERSE LENGTH=386
tr_18664,Module_4,0.753571429,Phvul.006G107800,coding,GLYMA03G41360.1,https://phytozome-next.jgi.doe.gov/report/gene/Pvulgaris_v2_1/Phvul.006G107800,"| Symbols: PUB9, ATPUB9 | plant U-box 9 | chr3:2354884-2356613 FORWARD LENGTH=460"
tr_21401,Module_4,0.745524502,Phvul.010G118500,coding,GLYMA07G05680.1,https://phytozome-next.jgi.doe.gov/report/gene/Pvulgaris_v2_1/Phvul.010G118500,| Symbols: iqd17 | IQ-domain 17 | chr4:349300-351307 FORWARD LENGTH=534
