transcript,met_module,cor,gene_id,region_soy,blast_soy,Phytozome,blast_ara
tr_7154,Module_1,-0.803571429,Phvul.008G111500,coding,GLYMA18G41970.1,https://phytozome-next.jgi.doe.gov/report/gene/Pvulgaris_v2_1/Phvul.008G111500,| Symbols:  | Concanavalin A-like lectin family protein | chr5:33055-34116 FORWARD LENGTH=353
tr_9022,Module_1,-0.803571429,Phvul.006G014400,coding,GLYMA02G11390.1,https://phytozome-next.jgi.doe.gov/report/gene/Pvulgaris_v2_1/Phvul.006G014400,| Symbols:  | unknown protein; CONTAINS InterPro DOMAIN/s: Protein of unknown function DUF3148 (InterPro:IPR021495); Has 30201 Blast hits to 17322 proteins in 780 species: Archae - 12; Bacteria - 1396; Metazoa - 17338; Fungi - 3422; Plants - 5037; Viruses - 0; Other Eukaryotes - 2996 (source: NCBI BLink). | chr5:7103487-7103945 FORWARD LENGTH=108
tr_13006,Module_1,-0.803571429,Phvul.009G056200,coding,GLYMA04G03630.1,https://phytozome-next.jgi.doe.gov/report/gene/Pvulgaris_v2_1/Phvul.009G056200,| Symbols:  | unknown protein; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: cellular_component unknown; EXPRESSED IN: 22 plant structures; EXPRESSED DURING: 13 growth stages; BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT1G75060.1). | chr1:6680824-6683290 REVERSE LENGTH=248
tr_25765,Module_1,-0.803571429,Phvul.006G167500,coding,GLYMA15G09840.1,https://phytozome-next.jgi.doe.gov/report/gene/Pvulgaris_v2_1/Phvul.006G167500,| Symbols:  | CONTAINS InterPro DOMAIN/s: Nucleoporin protein Ndc1-Nup (InterPro:IPR019049); Has 36 Blast hits to 36 proteins in 17 species: Archae - 0; Bacteria - 0; Metazoa - 1; Fungi - 0; Plants - 35; Viruses - 0; Other Eukaryotes - 0 (source: NCBI BLink). | chr1:27542397-27544668 REVERSE LENGTH=519
tr_1018,Module_1,-0.807142857,Phvul.003G271900,coding,GLYMA16G21630.1,https://phytozome-next.jgi.doe.gov/report/gene/Pvulgaris_v2_1/Phvul.003G271900,"| Symbols: NTRA, ATNTRA, NTR2 | NADPH-dependent thioredoxin reductase A | chr2:7564357-7566219 FORWARD LENGTH=378"
tr_8306,Module_1,-0.807142857,Phvul.007G015000,noncoding,None,https://phytozome-next.jgi.doe.gov/report/gene/Pvulgaris_v2_1/Phvul.007G015000,None
tr_8522,Module_1,-0.807142857,Phvul.001G233400,coding,GLYMA18G04170.1,https://phytozome-next.jgi.doe.gov/report/gene/Pvulgaris_v2_1/Phvul.001G233400,| Symbols:  | FKBP-like peptidyl-prolyl cis-trans isomerase family protein | chr3:20594177-20595128 FORWARD LENGTH=190
tr_25638,Module_1,-0.807142857,Phvul.003G102700,coding,GLYMA07G37970.1,https://phytozome-next.jgi.doe.gov/report/gene/Pvulgaris_v2_1/Phvul.003G102700,| Symbols:  | Mitochondrial transcription termination factor family protein | chr5:2520188-2521405 FORWARD LENGTH=405
tr_309,Module_1,-0.810714286,Phvul.001G099000,coding,GLYMA16G05020.2,https://phytozome-next.jgi.doe.gov/report/gene/Pvulgaris_v2_1/Phvul.001G099000,| Symbols: SNM1 | DNA repair metallo-beta-lactamase family protein | chr3:9801309-9803517 FORWARD LENGTH=484
tr_23015,Module_1,-0.810714286,Phvul.005G045000,coding,GLYMA08G17180.2,https://phytozome-next.jgi.doe.gov/report/gene/Pvulgaris_v2_1/Phvul.005G045000,| Symbols:  | Protein of Unknown Function (DUF239) | chr1:20666526-20668502 REVERSE LENGTH=422
tr_24066,Module_1,-0.814285714,Phvul.003G027400,coding,GLYMA02G11100.1,https://phytozome-next.jgi.doe.gov/report/gene/Pvulgaris_v2_1/Phvul.003G027400,| Symbols: GATL3 | galacturonosyltransferase-like 3 | chr1:4528965-4530002 REVERSE LENGTH=345
tr_21901,Module_1,-0.817857143,Phvul.002G072700,coding,GLYMA02G03780.1,https://phytozome-next.jgi.doe.gov/report/gene/Pvulgaris_v2_1/Phvul.002G072700,| Symbols:  | RING/U-box superfamily protein | chr1:8484879-8485988 REVERSE LENGTH=369
tr_9063,Module_1,-0.821428571,Phvul.005G026300,coding,GLYMA11G21700.1,https://phytozome-next.jgi.doe.gov/report/gene/Pvulgaris_v2_1/Phvul.005G026300,| Symbols: SRS6 | SHI-related sequence 6 | chr3:20147224-20147851 REVERSE LENGTH=183
tr_15416,Module_1,-0.821428571,Phvul.006G174200,coding,GLYMA15G09120.1,https://phytozome-next.jgi.doe.gov/report/gene/Pvulgaris_v2_1/Phvul.006G174200,| Symbols: DOT4 | Pentatricopeptide repeat (PPR) superfamily protein | chr4:10304850-10307465 FORWARD LENGTH=871
tr_8683,Module_1,-0.825,Phvul.007G032600,coding,GLYMA20G25640.1,https://phytozome-next.jgi.doe.gov/report/gene/Pvulgaris_v2_1/Phvul.007G032600,"| Symbols: LPP3, ATLPP3 | lipid phosphate phosphatase 3 | chr3:552937-554411 FORWARD LENGTH=314"
tr_17791,Module_1,-0.825,Phvul.001G181300,coding,GLYMA13G20970.1,https://phytozome-next.jgi.doe.gov/report/gene/Pvulgaris_v2_1/Phvul.001G181300,"| Symbols: ATRAB ALPHA, ATRAB, ATRAB18B, ATRABC2A, RABC2A | RAB GTPase homolog C2A | chr5:885741-887061 REVERSE LENGTH=210"
tr_21756,Module_1,-0.825258716,Phvul.002G160900,coding,GLYMA01G43220.1,https://phytozome-next.jgi.doe.gov/report/gene/Pvulgaris_v2_1/Phvul.002G160900,| Symbols:  | unknown protein; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: plasma membrane; BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT5G52870.1); Has 1546 Blast hits to 738 proteins in 176 species: Archae - 0; Bacteria - 143; Metazoa - 278; Fungi - 131; Plants - 95; Viruses - 4; Other Eukaryotes - 895 (source: NCBI BLink). | chr1:23785230-23786557 REVERSE LENGTH=411
tr_4341,Module_1,-0.827524906,Phvul.002G326200,coding,GLYMA16G03560.1,https://phytozome-next.jgi.doe.gov/report/gene/Pvulgaris_v2_1/Phvul.002G326200,| Symbols:  | Pentatricopeptide repeat (PPR) superfamily protein | chr3:22768974-22771274 REVERSE LENGTH=766
tr_6751,Module_1,-0.839285714,Phvul.007G163100,,,https://phytozome-next.jgi.doe.gov/report/gene/Pvulgaris_v2_1/Phvul.007G163100,
tr_11872,Module_1,-0.839285714,Phvul.005G094300,coding,GLYMA13G36600.1,https://phytozome-next.jgi.doe.gov/report/gene/Pvulgaris_v2_1/Phvul.005G094300,| Symbols:  | Protein kinase superfamily protein | chr3:21709369-21711246 FORWARD LENGTH=400
tr_15777,Module_1,-0.839285714,Phvul.009G211400,coding,GLYMA15G23780.1,https://phytozome-next.jgi.doe.gov/report/gene/Pvulgaris_v2_1/Phvul.009G211400,| Symbols:  | unknown protein; Has 30201 Blast hits to 17322 proteins in 780 species: Archae - 12; Bacteria - 1396; Metazoa - 17338; Fungi - 3422; Plants - 5037; Viruses - 0; Other Eukaryotes - 2996 (source: NCBI BLink). | chr4:18397749-18399263 REVERSE LENGTH=233
tr_16475,Module_1,-0.839285714,Phvul.009G0542000,coding,GLYMA06G13140.1,https://phytozome-next.jgi.doe.gov/report/gene/Pvulgaris_v2_1/Phvul.009G0542000,| Symbols: FTSH11 | FTSH protease 11 | chr5:21563023-21567922 REVERSE LENGTH=806
tr_16524,Module_1,-0.839285714,Phvul.002G275300,coding,GLYMA08G14590.2,https://phytozome-next.jgi.doe.gov/report/gene/Pvulgaris_v2_1/Phvul.002G275300,| Symbols: TPPJ | Haloacid dehalogenase-like hydrolase (HAD) superfamily protein | chr5:26019878-26022077 REVERSE LENGTH=370
tr_10939,Module_1,-0.842857143,Phvul.007G032600,coding,GLYMA10G41590.1,https://phytozome-next.jgi.doe.gov/report/gene/Pvulgaris_v2_1/Phvul.007G032600,"| Symbols: ATPAP1, PAP1, LPP1, ATLPP1 | phosphatidic acid phosphatase 1 | chr2:107182-108555 REVERSE LENGTH=327"
tr_22304,Module_1,-0.842857143,Phvul.007G181300,coding,GLYMA10G29680.1,https://phytozome-next.jgi.doe.gov/report/gene/Pvulgaris_v2_1/Phvul.007G181300,| Symbols:  | HSP20-like chaperones superfamily protein | chr1:20454440-20455994 FORWARD LENGTH=206
tr_12034,Module_1,-0.846428571,Phvul.004G162700,coding,GLYMA09G32220.1,https://phytozome-next.jgi.doe.gov/report/gene/Pvulgaris_v2_1/Phvul.004G162700,| Symbols:  | Late embryogenesis abundant (LEA) hydroxyproline-rich glycoprotein family | chr4:7731280-7732902 FORWARD LENGTH=215
tr_14064,Module_1,-0.85,Phvul.002G150900,coding,GLYMA02G04310.1,https://phytozome-next.jgi.doe.gov/report/gene/Pvulgaris_v2_1/Phvul.002G150900,| Symbols: PRS3 | phosphoribosyl pyrophosphate (PRPP) synthase 3 | chr1:3554157-3556274 FORWARD LENGTH=411
tr_24434,Module_1,-0.851049772,Phvul.003G045700,noncoding,None,https://phytozome-next.jgi.doe.gov/report/gene/Pvulgaris_v2_1/Phvul.003G045700,None
tr_14449,Module_1,-0.860714286,Phvul.009G0542001,coding,GLYMA06G13140.1,https://phytozome-next.jgi.doe.gov/report/gene/Pvulgaris_v2_1/Phvul.009G0542001,| Symbols: FTSH11 | FTSH protease 11 | chr5:21563023-21567922 REVERSE LENGTH=806
tr_25852,Module_1,-0.864285714,Phvul.002G037400,coding,GLYMA01G44010.1,https://phytozome-next.jgi.doe.gov/report/gene/Pvulgaris_v2_1/Phvul.002G037400,| Symbols:  | Protein of unknown function (DUF604) | chr1:12057524-12059346 REVERSE LENGTH=548
tr_21560,Module_1,-0.885714286,Phvul.001G023600,coding,GLYMA14G09310.2,https://phytozome-next.jgi.doe.gov/report/gene/Pvulgaris_v2_1/Phvul.001G023600,| Symbols: WOX4 | WUSCHEL related homeobox 4 | chr1:17236903-17237953 REVERSE LENGTH=251
tr_24602,Module_10,0.867389084,Phvul.002G163300,coding,GLYMA11G02070.1,https://phytozome-next.jgi.doe.gov/report/gene/Pvulgaris_v2_1/Phvul.002G163300,| Symbols: SEH1H | Transducin/WD40 repeat-like superfamily protein | chr1:23881582-23883073 FORWARD LENGTH=326
tr_20800,Module_10,0.853571429,Phvul.003G061000,coding,GLYMA08G39420.1,https://phytozome-next.jgi.doe.gov/report/gene/Pvulgaris_v2_1/Phvul.003G061000,| Symbols: PBF1 | N-terminal nucleophile aminohydrolases (Ntn hydrolases) superfamily protein | chr3:22472038-22473809 REVERSE LENGTH=223
tr_16124,Module_10,0.842857143,Phvul.008G207900,coding,GLYMA14G04610.1,https://phytozome-next.jgi.doe.gov/report/gene/Pvulgaris_v2_1/Phvul.008G207900,| Symbols:  | Zinc-binding alcohol dehydrogenase family protein | chr5:16894087-16897450 FORWARD LENGTH=390
tr_14093,Module_10,0.832142857,Phvul.003G125500,coding,GLYMA08G10570.2,https://phytozome-next.jgi.doe.gov/report/gene/Pvulgaris_v2_1/Phvul.003G125500,| Symbols:  | unknown protein; Has 30201 Blast hits to 17322 proteins in 780 species: Archae - 12; Bacteria - 1396; Metazoa - 17338; Fungi - 3422; Plants - 5037; Viruses - 0; Other Eukaryotes - 2996 (source: NCBI BLink). | chr4:11659810-11660202 REVERSE LENGTH=130
tr_24765,Module_10,0.814285714,Phvul.004G147800,coding,GLYMA09G30300.1,https://phytozome-next.jgi.doe.gov/report/gene/Pvulgaris_v2_1/Phvul.004G147800,"| Symbols: ATMKK9, MKK9 | MAP kinase kinase 9 | chr1:27639419-27640351 REVERSE LENGTH=310"
tr_8530,Module_10,0.807142857,Phvul.004G138500,coding,GLYMA16G33800.1,https://phytozome-next.jgi.doe.gov/report/gene/Pvulgaris_v2_1/Phvul.004G138500,| Symbols:  | Kunitz family trypsin and protease inhibitor protein | chr1:6149343-6149933 FORWARD LENGTH=196
tr_14009,Module_10,0.79564184,Phvul.002G045500,coding,GLYMA11G00790.1,https://phytozome-next.jgi.doe.gov/report/gene/Pvulgaris_v2_1/Phvul.002G045500,None
tr_5345,Module_10,0.793566001,Phvul.004G138500,coding,GLYMA16G33800.1,https://phytozome-next.jgi.doe.gov/report/gene/Pvulgaris_v2_1/Phvul.004G138500,| Symbols:  | Kunitz family trypsin and protease inhibitor protein | chr1:6149343-6149933 FORWARD LENGTH=196
tr_367,Module_10,0.775,Phvul.001G1193000,coding,GLYMA03G27860.1,https://phytozome-next.jgi.doe.gov/report/gene/Pvulgaris_v2_1/Phvul.001G1193000,| Symbols: BZIP17 | Basic-leucine zipper (bZIP) transcription factor family protein | chr2:17087823-17090326 REVERSE LENGTH=721
tr_7790,Module_10,0.775,Phvul.009G116700,coding,GLYMA02G04820.1,https://phytozome-next.jgi.doe.gov/report/gene/Pvulgaris_v2_1/Phvul.009G116700,"| Symbols: ATHCHIB, PR3, PR-3, CHI-B, B-CHI, HCHIB | basic chitinase | chr3:3962501-3963984 REVERSE LENGTH=335"
tr_2282,Module_10,0.771428571,Phvul.005G110300,coding,GLYMA12G32500.1,https://phytozome-next.jgi.doe.gov/report/gene/Pvulgaris_v2_1/Phvul.005G110300,| Symbols:  | S-locus lectin protein kinase family protein | chr2:8293789-8296275 FORWARD LENGTH=828
tr_16560,Module_10,-0.771428571,Phvul.011G053500,coding,GLYMA11G13510.1,https://phytozome-next.jgi.doe.gov/report/gene/Pvulgaris_v2_1/Phvul.011G053500,| Symbols:  | Basic-leucine zipper (bZIP) transcription factor family protein | chr1:1835201-1837116 REVERSE LENGTH=423
tr_1313,Module_10,-0.775,Phvul.001G170300,coding,GLYMA19G35710.1,https://phytozome-next.jgi.doe.gov/report/gene/Pvulgaris_v2_1/Phvul.001G170300,"| Symbols: AtPPa4, PPa4 | pyrophosphorylase 4 | chr3:19881491-19883308 FORWARD LENGTH=216"
tr_13375,Module_10,-0.775,Phvul.002G229700,coding,GLYMA13G24640.1,https://phytozome-next.jgi.doe.gov/report/gene/Pvulgaris_v2_1/Phvul.002G229700,| Symbols:  | Ribosomal protein S5 family protein | chr2:14300925-14302352 REVERSE LENGTH=303
tr_2604,Module_10,-0.778571429,Phvul.001G081500,noncoding,None,https://phytozome-next.jgi.doe.gov/report/gene/Pvulgaris_v2_1/Phvul.001G081500,None
tr_6156,Module_10,-0.785714286,Phvul.002G296300,,,https://phytozome-next.jgi.doe.gov/report/gene/Pvulgaris_v2_1/Phvul.002G296300,
tr_20181,Module_10,-0.785714286,Phvul.007G094100,coding,GLYMA20G31970.1,https://phytozome-next.jgi.doe.gov/report/gene/Pvulgaris_v2_1/Phvul.007G094100,"| Symbols: emb1997, ADCS | para-aminobenzoate (PABA) synthase family protein | chr2:12398937-12403108 REVERSE LENGTH=919"
tr_1756,Module_10,-0.789285714,Phvul.011G049100,coding,GLYMA11G13020.1,https://phytozome-next.jgi.doe.gov/report/gene/Pvulgaris_v2_1/Phvul.011G049100,| Symbols:  | Uncharacterised protein family (UPF0497) | chr1:18284335-18284947 REVERSE LENGTH=152
tr_2230,Module_10,-0.789285714,Phvul.009G203400,coding,GLYMA06G22650.1,https://phytozome-next.jgi.doe.gov/report/gene/Pvulgaris_v2_1/Phvul.009G203400,"| Symbols: AGL8, FUL | AGAMOUS-like 8 | chr5:24502736-24506013 REVERSE LENGTH=242"
tr_8287,Module_10,-0.789285714,Phvul.002G187500,noncoding,None,https://phytozome-next.jgi.doe.gov/report/gene/Pvulgaris_v2_1/Phvul.002G187500,None
tr_22415,Module_10,-0.789285714,Phvul.003G060000,coding,GLYMA07G09780.2,https://phytozome-next.jgi.doe.gov/report/gene/Pvulgaris_v2_1/Phvul.003G060000,| Symbols:  | unknown protein; Has 15 Blast hits to 15 proteins in 9 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 15; Viruses - 0; Other Eukaryotes - 0 (source: NCBI BLink). | chr3:6355711-6355984 FORWARD LENGTH=67
tr_25499,Module_10,-0.789285714,Phvul.001G066800,noncoding,None,https://phytozome-next.jgi.doe.gov/report/gene/Pvulgaris_v2_1/Phvul.001G066800,| Symbols:  | unknown protein; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: chloroplast; EXPRESSED IN: synergid; BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT5G53905.1); Has 1807 Blast hits to 1807 proteins in 277 species: Archae - 0; Bacteria - 0; Metazoa - 736; Fungi - 347; Plants - 385; Viruses - 0; Other Eukaryotes - 339 (source: NCBI BLink). | chr5:21811633-21814908 FORWARD LENGTH=275
tr_1699,Module_10,-0.792857143,Phvul.002G197400,coding,GLYMA08G08710.1,https://phytozome-next.jgi.doe.gov/report/gene/Pvulgaris_v2_1/Phvul.002G197400,"| Symbols: KCO6, ATTPK3, ATKCO6, TPK3 | Ca2+ activated outward rectifying K+ channel 6 | chr4:10055696-10057546 FORWARD LENGTH=436"
tr_10077,Module_10,-0.792857143,Phvul.005G144200,coding,GLYMA15G04280.1,https://phytozome-next.jgi.doe.gov/report/gene/Pvulgaris_v2_1/Phvul.005G144200,| Symbols: APK1A | Protein kinase superfamily protein | chr1:2331369-2333589 REVERSE LENGTH=424
tr_5334,Module_10,-0.796428571,Phvul.008G256200,coding,GLYMA07G00560.2,https://phytozome-next.jgi.doe.gov/report/gene/Pvulgaris_v2_1/Phvul.008G256200,| Symbols:  | RNA-binding (RRM/RBD/RNP motifs) family protein | chr3:7442873-7445231 REVERSE LENGTH=339
tr_25487,Module_10,-0.796428571,Phvul.006G182000,coding,GLYMA13G30860.1,https://phytozome-next.jgi.doe.gov/report/gene/Pvulgaris_v2_1/Phvul.006G182000,| Symbols: HB-1 | homeobox-1 | chr1:9979936-9987460 FORWARD LENGTH=1705
tr_1572,Module_10,-0.798927933,Phvul.010G146400,coding,GLYMA08G21640.1,https://phytozome-next.jgi.doe.gov/report/gene/Pvulgaris_v2_1/Phvul.010G146400,None
tr_8458,Module_10,-0.807142857,Phvul.001G206200,coding,GLYMA19G39780.1,https://phytozome-next.jgi.doe.gov/report/gene/Pvulgaris_v2_1/Phvul.001G206200,| Symbols: emb1644 | Small nuclear ribonucleoprotein family protein | chr5:9815904-9817304 FORWARD LENGTH=129
tr_3861,Module_10,-0.810714286,Phvul.007G226100,coding,GLYMA19G37230.2,https://phytozome-next.jgi.doe.gov/report/gene/Pvulgaris_v2_1/Phvul.007G226100,| Symbols: VPS37-1 | Modifier of rudimentary (Mod(r)) protein | chr3:19690729-19692490 REVERSE LENGTH=217
tr_26641,Module_10,-0.814285714,Phvul.002G087200,coding,GLYMA17G20420.1,https://phytozome-next.jgi.doe.gov/report/gene/Pvulgaris_v2_1/Phvul.002G087200,| Symbols:  | RNA-directed DNA polymerase (reverse transcriptase)-related family protein | chr3:8789471-8793208 FORWARD LENGTH=746
tr_1043,Module_10,-0.821428571,Phvul.005G113400,coding,GLYMA12G32210.1,https://phytozome-next.jgi.doe.gov/report/gene/Pvulgaris_v2_1/Phvul.005G113400,| Symbols:  | EXS (ERD1/XPR1/SYG1) family protein | chr5:13893941-13896821 FORWARD LENGTH=457
tr_2105,Module_10,-0.832142857,Phvul.007G069900,coding,GLYMA20G29780.1,https://phytozome-next.jgi.doe.gov/report/gene/Pvulgaris_v2_1/Phvul.007G069900,| Symbols:  | Pentatricopeptide repeat (PPR) superfamily protein | chr1:20791817-20793250 REVERSE LENGTH=477
tr_6544,Module_10,-0.832142857,Phvul.002G324900,coding,GLYMA08G05370.1,https://phytozome-next.jgi.doe.gov/report/gene/Pvulgaris_v2_1/Phvul.002G324900,"| Symbols: AHK3, HK3 | histidine kinase 3 | chr1:9487780-9492027 FORWARD LENGTH=1036"
tr_1634,Module_10,-0.842857143,Phvul.009G032600,coding,GLYMA04G10780.1,https://phytozome-next.jgi.doe.gov/report/gene/Pvulgaris_v2_1/Phvul.009G032600,| Symbols:  | VQ motif-containing protein | chr1:29464003-29464938 REVERSE LENGTH=311
tr_24854,Module_10,-0.867857143,Phvul.002G003700,coding,GLYMA01G40940.1,https://phytozome-next.jgi.doe.gov/report/gene/Pvulgaris_v2_1/Phvul.002G003700,"| Symbols:  | unknown protein; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: chloroplast, chloroplast envelope; EXPRESSED IN: 23 plant structures; EXPRESSED DURING: 13 growth stages; Has 72 Blast hits to 72 proteins in 12 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 72; Viruses - 0; Other Eukaryotes - 0 (source: NCBI BLink). | chr3:22105853-22106146 REVERSE LENGTH=97"
tr_5914,Module_11,0.892214054,Phvul.008G2149000,coding,GLYMA02G43490.2,https://phytozome-next.jgi.doe.gov/report/gene/Pvulgaris_v2_1/Phvul.008G2149000,| Symbols:  | unknown protein; Has 37 Blast hits to 37 proteins in 11 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 37; Viruses - 0; Other Eukaryotes - 0 (source: NCBI BLink). | chr1:1416563-1418291 REVERSE LENGTH=193
tr_24902,Module_11,0.875,Phvul.005G031100,coding,GLYMA11G12220.1,https://phytozome-next.jgi.doe.gov/report/gene/Pvulgaris_v2_1/Phvul.005G031100,| Symbols:  | ARM repeat superfamily protein | chr1:28655914-28658531 FORWARD LENGTH=811
tr_22926,Module_11,0.840990669,Phvul.002G286200,coding,GLYMA05G38150.1,https://phytozome-next.jgi.doe.gov/report/gene/Pvulgaris_v2_1/Phvul.002G286200,| Symbols:  | Protein of unknown function (DUF 3339) | chr3:18029659-18030133 FORWARD LENGTH=89
tr_1897,Module_11,0.839285714,Phvul.009G222000,noncoding,GLYMA18G06110.1,https://phytozome-next.jgi.doe.gov/report/gene/Pvulgaris_v2_1/Phvul.009G222000,None
tr_15866,Module_11,0.839285714,Phvul.002G3121001,noncoding,GLYMA08G04180.3,https://phytozome-next.jgi.doe.gov/report/gene/Pvulgaris_v2_1/Phvul.002G3121001,None
tr_18824,Module_11,0.835714286,Phvul.004G079000,coding,GLYMA02G07830.1,https://phytozome-next.jgi.doe.gov/report/gene/Pvulgaris_v2_1/Phvul.004G079000,| Symbols:  | transcription regulator NOT2/NOT3/NOT5 family protein | chr5:6021610-6027031 REVERSE LENGTH=843
tr_21867,Module_11,0.829227983,Phvul.010G046000,coding,GLYMA03G25720.1,https://phytozome-next.jgi.doe.gov/report/gene/Pvulgaris_v2_1/Phvul.010G046000,| Symbols:  | Tetratricopeptide repeat (TPR)-like superfamily protein | chr3:8347200-8349347 FORWARD LENGTH=715
tr_26470,Module_11,0.828571429,Phvul.008G073200,coding,GLYMA18G45900.1,https://phytozome-next.jgi.doe.gov/report/gene/Pvulgaris_v2_1/Phvul.008G073200,None
tr_11786,Module_11,0.814285714,Phvul.009G043900,coding,GLYMA04G40060.1,https://phytozome-next.jgi.doe.gov/report/gene/Pvulgaris_v2_1/Phvul.009G043900,| Symbols:  | RING/U-box superfamily protein | chr5:1551593-1553543 FORWARD LENGTH=363
tr_21967,Module_11,0.814285714,Phvul.006G198100,coding,GLYMA15G06710.1,https://phytozome-next.jgi.doe.gov/report/gene/Pvulgaris_v2_1/Phvul.006G198100,| Symbols: PIP | proline iminopeptidase | chr2:6041441-6043475 REVERSE LENGTH=329
tr_1278,Module_11,0.810714286,Phvul.002G195000,noncoding,None,https://phytozome-next.jgi.doe.gov/report/gene/Pvulgaris_v2_1/Phvul.002G195000,None
